2.276683,-48
2.277782,-48
2.277894,-48
2.278548,-48
2.278601,-48
2.278610,-48
2.278610,-48
2.278625,-48
2.278946,-48
2.279829,-48
2.279936,-48
2.280240,-48
2.280267,-48
2.281339,-48
2.281779,-48
2.282645,-48
2.283262,-48
2.284450,-48
2.286723,-48
2.287281,-48
2.288210,-48
2.288429,-48
2.289431,-48
2.289515,-48
2.291510,-48
2.294742,-48
2.295260,-48
2.297461,-48
2.303696,-48
2.303696,-48
2.310607,-48
2.314715,-48
2.317611,-48
2.322346,-48
2.327437,-48
2.334235,-48
2.337324,-48
2.342575,-48
2.347655,-48
2.354470,-48
2.354552,-48
2.362102,-52
2.373596,-69
2.378862,-69
2.384519,-53
2.386721,-50
2.386772,-69
2.386903,-50
2.387173,-50
2.387487,-50
2.388489,-50
2.389002,-47
2.389118,-50
2.389151,-53
2.389265,-47
2.389559,-47
2.389652,-53
2.389667,-47
2.389873,-47
2.389916,-53
2.390273,-47
2.390507,-50
2.390696,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390757,-47
2.390763,-47
2.390763,-50
2.390859,-47
2.391106,-53
2.391697,-47
2.391869,-50
2.392066,-50
2.392081,-47
2.392532,-48
2.392649,-50
2.392856,-47
