-342692 -302472 -99009 -99009
-342242 -302922 -98799 -98799
-332170 -330574 -97024 -97024
-315930 -313514 -97024 -97024
-332142 -330602 -97018 -97018
-315902 -313542 -97018 -97018
-339242 -332172 -97009 -97009
-332129 -330615 -97009 -97009
-330622 -328402 -97009 -97009
-327502 -319232 -97009 -97009
-318332 -315882 -97009 -97009
-313562 -309617 -97009 -97009
-307217 -305922 -97009 -97009
-327252 -319442 -96934 -96934
-317162 -316132 -96934 -96934
-313312 -310912 -96934 -96934
-327252 -319442 -96914 -96914
-317162 -316132 -96914 -96914
-313312 -310912 -96914 -96914
-315882 -313562 -96889 -96889
-310692 -309617 -96889 -96889
-307217 -306142 -96889 -96889
-310662 -309617 -96859 -96859
-307217 -306172 -96859 -96859
-339022 -335722 -96839 -96839
-339022 -328452 -96839 -96839
-328452 -327442 -96839 -96839
-327492 -319282 -96839 -96839
-318285 -315932 -96839 -96839
-315932 -314922 -96839 -96839
-314512 -313502 -96839 -96839
-313512 -310912 -96839 -96839
-315912 -313532 -96830 -96830
-328460 -327444 -96824 -96824
-319290 -318274 -96824 -96824
-315940 -313504 -96824 -96824
-338972 -332172 -96789 -96789
-332172 -330575 -96789 -96789
-330575 -328822 -96789 -96789
-332152 -330592 -96780 -96780
-332180 -330564 -96774 -96774
-332122 -330622 -96039 -96039
-338972 -336742 -94749 -94749
-339022 -335722 -94699 -94699
-339022 -336692 -94579 -94579
-309692 -307142 -94519 -94519
-310692 -306142 -94489 -94489
-310692 -306142 -94369 -94369
-309645 -307192 -94339 -94339
-314520 -313504 -92854 -92854
-317162 -314832 -92839 -92839
-317162 -314512 -92839 -92839
-313515 -310912 -92839 -92839
-317162 -314832 -92719 -92719
-317162 -314462 -92719 -92719
-313562 -310912 -92719 -92719
-313512 -310912 -92719 -92719
-328552 -325612 -92639 -92639
-328552 -325612 -92519 -92519
-342472 -339242 -90359 -90359
-310432 -302692 -90359 -90359
-310462 -307342 -90329 -90329
-308477 -306142 -90329 -90329
-310462 -306142 -90249 -90249
-310462 -306142 -90189 -90189
-342692 -339022 -90109 -90109
-310562 -302472 -90109 -90109
-322502 -321425 -88889 -88889
-335102 -328822 -88689 -88689
-339102 -328352 -88639 -88639
-328552 -325612 -88639 -88639
-325412 -316962 -88639 -88639
-317162 -310812 -88639 -88639
-338902 -311012 -88559 -88559
-338902 -311012 -88499 -88499
-339322 -310592 -88419 -88419
-342692 -342692 -99009 -90109
-342612 -342612 -98549 -97009
-342552 -342552 -98549 -97009
-342472 -342472 -98549 -90359
-339957 -339957 -98499 -97059
-339322 -339322 -90109 -88419
-339257 -339257 -98547 -97001
-339251 -339251 -98519 -97029
-339242 -339242 -98499 -97012
-339242 -339242 -97012 -90359
-339242 -339242 -96619 -90359
-339192 -339192 -98489 -97059
-339102 -339102 -90109 -88639
-339022 -339022 -98489 -97009
-339022 -339022 -97059 -90109
-339013 -339013 -98509 -97039
-339007 -339007 -98537 -97011
-338972 -338972 -96789 -88639
-335772 -335772 -96789 -94749
-335737 -335737 -90027 -88981
-335722 -335722 -96839 -90019
-335722 -335722 -90019 -88979
-335502 -335502 -96839 -88639
-335222 -335222 -96839 -94869
-335222 -335222 -96789 -89039
-335102 -335102 -96839 -95159
-335102 -335102 -90319 -88639
-328822 -328822 -96789 -91569
-328822 -328822 -90759 -88689
-328772 -328772 -96839 -88639
-328552 -328552 -96839 -91639
-328552 -328552 -90689 -88639
-328402 -328402 -97016 -95939
-325612 -325612 -97009 -88639
-325612 -325612 -94697 -93697
-325612 -325612 -89670 -88670
-325412 -325412 -97009 -88639
-325412 -325412 -94484 -90984
-321652 -321652 -97009 -94919
-321652 -321652 -97009 -89789
-321552 -321552 -94919 -90559
-321532 -321532 -94919 -90559
-321432 -321432 -97009 -94919
-318332 -318332 -97016 -95939
-317382 -317382 -96839 -88639
-317162 -317162 -97009 -88639
-317162 -317162 -93274 -89900
-317062 -317062 -92719 -88639
-314982 -314982 -97016 -95939
-314832 -314832 -96839 -92839
-314832 -314832 -95007 -94007
-314612 -314612 -96839 -92839
-314462 -314462 -97016 -95939
-314462 -314462 -93739 -92712
-310912 -310912 -97009 -90559
-310912 -310912 -90109 -88639
-310812 -310812 -90109 -88639
-310692 -310692 -97009 -90559
-310662 -310662 -96859 -94519
-310657 -310657 -94339 -90589
-310592 -310592 -90109 -88419
-308507 -308507 -94339 -90359
-308477 -308477 -94369 -90329
-308357 -308357 -94369 -90329
-308327 -308327 -94339 -90359
-306292 -306292 -94526 -93489
-306172 -306172 -96859 -90359
-306157 -306157 -98537 -97011
-306151 -306151 -98509 -97039
-306142 -306142 -98489 -97009
-306142 -306142 -97059 -90109
-305972 -305972 -98489 -97059
-305922 -305922 -98499 -97012
-305922 -305922 -97012 -90359
-305913 -305913 -98519 -97029
-305907 -305907 -98547 -97001
-305207 -305207 -98499 -97059
-302692 -302692 -97009 -90359
-302472 -302472 -99009 -90109
